"","Isolate.Name","Accession.Code","Population","Year.of.Isolation","Serotype","Vaccine.Type","filename"
"1","R34-3043","ERR065299","Massachusetts",2004,"19F","VT","6925_1#61"
"2","R34-3062","ERR065318","Massachusetts",2004,"16F","NVT","6925_2#81"
"3","R34-3070","ERR065325","Massachusetts",2004,"19F","VT","6925_2#88"
"4","R34-3023","ERR065349","Massachusetts",2004,"35B","NVT","6930_8#17"
"5","R34-3028","ERR065354","Massachusetts",2004,"19F","VT","6930_8#22"
"6","439699","ERR065960","Massachusetts",2001,"19F","VT","6952_4#8"
"7","R34-3176","ERR067975","Massachusetts",2004,"34","NVT","6952_7#16"
"8","R34-3122","ERR068022","Massachusetts",2004,"35B","NVT","7001_2#17"
"9","R34-3137","ERR068031","Massachusetts",2004,"19F","VT","7001_3#3"
"10","R34-3193","ERR069692","Massachusetts",2004,"19F","VT","6999_1#10"
"11","R34-3198","ERR069697","Massachusetts",2004,"19F","VT","6999_1#15"
"12","R34-3223","ERR069722","Massachusetts",2004,"35B","NVT","6999_2#17"
"13","R34-3224","ERR069723","Massachusetts",2004,"19F","VT","6999_2#18"
"14","027999","ERR069737","Massachusetts",2001,"19F","VT","6999_3#9"
"15","110093","ERR069764","Massachusetts",2001,"6A","VT","6999_4#13"
"16","209464","ERR069792","Massachusetts",2001,"19F","VT","6999_5#18"
"17","277394","ERR069808","Massachusetts",2001,"11A","NVT","6999_6#11"
"18","284968","ERR069810","Massachusetts",2001,"19F","VT","6999_6#13"
"19","333793","ERR069820","Massachusetts",2001,"15A","NVT","6999_6#23"
"20","M66VO","ERR124247","Massachusetts",2007,"16F","NVT","7553_4#31"
"21","2Y1CQ","ERR124271","Massachusetts",2007,"16F","NVT","7553_5#55"
"22","RD7KX","ERR124289","Massachusetts",2007,"16F","NVT","7553_5#73"
"23","BA5TC","ERR124309","Massachusetts",2007,"16F","NVT","7553_5#93"
"24","X703J","ERR129041","Massachusetts",2007,"16F","NVT","7622_2#17"
"25","DALR8","ERR129045","Massachusetts",2007,"19F","VT","7622_2#21"
"26","SQADW","ERR129050","Massachusetts",2007,"19F","VT","7622_2#26"
"27","7NA98","ERR129084","Massachusetts",2007,"19A","NVT","7622_3#60"
"28","SHTPB","ERR129184","Massachusetts",2007,"16F","NVT","7622_5#64"
"29","R34-3035","ERR065292","Massachusetts",2004,"6A","VT","6925_1#54"
"30","R34-3075","ERR065330","Massachusetts",2004,"6A","VT","6925_2#93"
"31","R34-3018","ERR065344","Massachusetts",2004,"6A","VT","6930_8#12"
"32","R34-3021","ERR065347","Massachusetts",2004,"10A","NVT","6930_8#15"
"33","R34-3024","ERR065350","Massachusetts",2004,"10A","NVT","6930_8#18"
"34","446376","ERR065962","Massachusetts",2001,"6A","VT","6952_4#10"
"35","472699","ERR065967","Massachusetts",2001,"6A","VT","6952_4#15"
"36","473937","ERR065968","Massachusetts",2001,"35F","NVT","6952_4#16"
"37","R34-3166","ERR067964","Massachusetts",2004,"6A","VT","6952_7#5"
"38","R34-3178","ERR067977","Massachusetts",2004,"35F","NVT","6952_7#18"
"39","R34-3182","ERR067981","Massachusetts",2004,"10A","NVT","6952_7#22"
"40","R34-3111","ERR068012","Massachusetts",2004,"10A","NVT","7001_2#7"
"41","R34-3112","ERR068013","Massachusetts",2004,"35F","NVT","7001_2#8"
"42","R34-3118","ERR068018","Massachusetts",2004,"35F","NVT","7001_2#13"
