"Lane_id","Year","Serotype","Vaccine_Type","GPSC"
"6925_1#61",2004,"19F","VT",119
"6925_2#81",2004,"16F","NVT",135
"6925_2#88",2004,"19F","VT",119
"6930_8#17",2004,"35B","NVT",75
"6930_8#22",2004,"19F","VT",175
"6952_4#8",2001,"19F","VT",119
"6952_7#16",2004,"34","NVT",237
"7001_2#17",2004,"35B","NVT",75
"7001_3#3",2004,"19F","VT",175
"6999_1#10",2004,"19F","VT",175
"6999_1#15",2004,"19F","VT",175
"6999_2#17",2004,"35B","NVT",75
"6999_2#18",2004,"19F","VT",175
"6999_3#9",2001,"19F","VT",119
"6999_4#13",2001,"6A","VT",601
"6999_5#18",2001,"19F","VT",175
"6999_6#11",2001,"11A","NVT",22
"6999_6#13",2001,"19F","VT",175
"6999_6#23",2001,"15A","NVT",140
"7553_4#31",2007,"16F","NVT",156
"7553_5#55",2007,"16F","NVT",135
"7553_5#73",2007,"16F","NVT",135
"7553_5#93",2007,"16F","NVT",135
"7622_2#17",2007,"16F","NVT",135
"7622_2#21",2007,"19F","VT",316
"7622_2#26",2007,"19F","VT",119
"7622_3#60",2007,"19A","NVT",140
"7622_5#64",2007,"16F","NVT",135
"6925_1#54",2004,"6A","VT",64
"6925_2#93",2004,"6A","VT",64
"6930_8#12",2004,"6A","VT",64
"6930_8#15",2004,"10A","NVT",35
"6930_8#18",2004,"10A","NVT",35
"6952_4#10",2001,"6A","VT",64
"6952_4#15",2001,"6A","VT",64
"6952_4#16",2001,"35F","NVT",36
"6952_7#5",2004,"6A","VT",64
"6952_7#18",2004,"35F","NVT",36
"6952_7#22",2004,"10A","NVT",36
"7001_2#7",2004,"10A","NVT",36
"7001_2#8",2004,"35F","NVT",36
"7001_2#13",2004,"35F","NVT",36
"7001_2#15",2004,"35F","NVT",36
"7001_3#20",2004,"10A","NVT",35
"6999_1#1",2004,"10A","NVT",36
"6999_1#8",2004,"35F","NVT",36
"6999_2#7",2004,"35F","NVT",36
"6999_2#10",2004,"35F","NVT",36
"6999_2#14",2004,"6A","VT",64
"6999_2#16",2004,"6A","VT",64
"6999_3#3",2001,"10A","NVT",35
"6999_3#4",2001,"6A","VT",64
"6999_3#12",2001,"6A","VT",64
"6999_3#18",2001,"6A","VT",64
"6999_4#4",2001,"6A","VT",64
